Site,Species,ID,Fate,DaysActive,DOY,SmallStems_Ha,NestHeight,CanopyCover,Coverage,Dist_toTrailLog
TECH,NOCA,N2C1TECH1,1,6,12,15915.45709,1.32,1.296,4.875,1.477121255
BDL,NOCA,N3C2BDL1,1,14,31,9549.274255,1.98,7.132,3.875,1
TECH,AMRO,N5R3TECH2,1,16,12,15915.45709,0.74,5.948,0,1.698970004
TECH,AMRO,N6R4TECH3,1,29,15,24012.79491,2.13390625,6.594081081,2.194444444,1.113943352
TECH,AMRO,N7R5TECH4,1,8,19,22281.63993,1.01,10.099,5.75,1.602059991
TECH,AMRO,N8R6TECH5,1,16,6,3183.091418,0.77,0.844,3.375,0.77815125
TECH,AMRO,N9R7TECH6,1,10,11,6366.182837,1.37,0.465,3.625,-0.259637311
BDL,AMRO,N10R8BDL2,1,8,13,22281.63993,1.38,5.871,1.375,-1.754487332
BDL,NOCA,N11C3BDL3,1,3,19,9549.274255,1.5,0.392,0.75,1
TECH,NOCA,N12C4TECH7,0,30,1,24012.79491,2.13390625,6.594081081,2.194444444,0.974050903
TECH,AMRO,N13R9TECH8,1,3,21,24012.79491,1.3,0.063,2.194444444,1
TECH,AMRO,N15R10TECH10,0,35,1,24012.79491,2.13390625,6.594081081,2.194444444,1.134495856
TECH,NOCA,N16C6TECH11,1,26,15,3183.091418,1.24,6.594081081,4.125,0.176091259
TECH,NOCA,N17C7TECH12,1,8,16,24012.79491,2.13390625,6.594081081,2.194444444,1.508125536
TECH,NOCA,N18C8TECH13,1,9,22,24012.79491,2.13390625,6.594081081,2.194444444,1
TECH,AMRO,N20R11TECH15,1,8,15,25464.73135,1.12,1.542,2.375,1.301029996
BDL,NOCA,N21C10BDL4,0,30,22,0,0.88,3.402,2,0.330413773
BDL,NOCA,N22C11BDL5,1,8,16,15915.45709,5.49,6.594081081,2.194444444,-0.036212173
BDL,NOCA,N24C13BDL7,1,21,15,0,0.98,2.574,1.125,-0.096910013
STNY,AMRO,N25R12STNY1,0,35,15,24012.79491,1.6,0.922,3.75,0.84509804
STNY,NOCA,N26C14STNY2,1,6,22,12732.36567,2.5,6.594081081,2.194444444,0.255272505
TECH,AMRO,N27R13TECH16,1,16,19,318309.1418,1.9,0.299,2.5,1.301029996
TECH,AMRO,N28R14TECH17,1,6,21,24012.79491,2.13390625,6.594081081,2.194444444,1.436957331
TECH,AMRO,N29R15TECH18,1,28,18,12732.36567,0.6,1.476,0,0.488550717
TECH,AMRO,N30R16TECH19,1,16,21,12732.36567,0.9,4.421,2.625,0.394451681
BDL,AMRO,N32R17BDL9,0,35,23,25464.73135,6.03,6.594081081,2.194444444,0.521138084
BDL,AMRO,N33R18BDL10,0,35,9,24012.79491,2.13390625,6.594081081,2.194444444,0.602059991
BDL,NOCA,N34C16BDL11,1,6,33,3183.091418,0.85,6.594081081,0,0.485721426
BDL,NOCA,N36C17BDL13,1,8,23,19098.54851,4.77,6.594081081,2.194444444,0.84509804
BDL,NOCA,N37C18BDL14,1,24,26,63661.82837,1.05,0.402,1.666666667,0.117271296
TECH,AMRO,N38R20TECH20,0,35,23,0,0.66,1.161,6,0.587710965
TECH,AMRO,N39R21TECH21,1,6,31,12732.36567,0.67,3.722,2.625,1.698970004
TECH,AMRO,N40R22TECH22,0,35,1,25464.73135,0.67,7.878,4.375,1.301029996
TECH,AMRO,N41R23TECH23,1,29,23,22281.63993,4.74,6.594081081,0,0.666517981
TECH,AMRO,N42R24TECH24,1,16,27,24012.79491,2.13390625,6.594081081,2.194444444,0.73239376
TECH,AMRO,N43R25TECH25,0,35,10,12732.36567,1.31,6.594081081,5,2
BDL,AMRO,N44R26BDL15,1,29,29,24012.79491,1.93,1.836,4.375,1.301029996
